Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C11,C12,C13,C7,C8,C9",C_0201_0603Metric,C6119757,7
100nF,"C14,C16,C17,C19,C2,C20,C22,C3,C4,C46,C48,C49,C5,C50,C51,C6",C_0201_0603Metric,C6119757,16
100nF 10V,C58,C_0201_0603Metric,C6119757,1
10K,"R14,R24,R27,R28,R3,R31,R33",R_0201_0603Metric,C49653975,7
10K0,R41,R_0402_1005Metric,C52677569,1
10R,"R10,R9",R_0201_0603Metric,C49653825,2
10uF 10V,C31,CP_Elec_4x5.8,C401860,1
12K4,R8,R_0402_1005Metric,C138060,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C5182759,1
15pF,"C44,C45",C_0201_0603Metric,C22374851,2
1K5,R7,R_0201_0603Metric,C49654140,1
1M,"R15,R39",R_0402_1005Metric,C49652954,2
1M,R20,R_0201_0603Metric,C49654212,1
2.2uF 16V,"C28,C34,C36",C_0805_2012Metric,C167029,3
2.2uF 50V,"C30,C33",C_0805_2012Metric,C2903667,2
2.2uH,L2,L0806,C337893,1
220R,"R16,R17,R18,R19",R_0402_1005Metric,C49653096,4
220R,"R12,R13,R25,R26,R29,R30",R_0201_0603Metric,C49654383,6
25MHz,Y3,CRYSTAL-SMD_4P-L1.6-W1.2-BL,C51289919,1
267K,R22,R_0402_1005Metric,C49254102,1
27R,"R5,R6",R_0201_0603Metric,C49654512,2
3.3uH,L3,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
3.3uH,L5,L_Murata_LQH55DN_5.7x5.0mm,C48579566,1
30pF,"C42,C43",C_0201_0603Metric,C5142545,2
33R,R2,R_0201_0603Metric,C49654095,1
33uF 16V,C29,CP_Elec_5x5.4,C970668,1
4.7nF,"C24,C52",C_1206_3216Metric,C784438,2
4.7uF,C47,C_0402_1005Metric,C33595851,1
4.7uF,"C1,C25,C26,C27,C37,C38",C_0805_2012Metric,C380343,6
4.7uF,"C15,C18,C21,C23,C39,C40,C41",C_0603_1608Metric,C7419427,7
4.7uF 16V,C35,C_0805_2012Metric,C22399641,1
470uF 50V,C32,CP_Elec_10x12.5,C22469994,1
49R9,"R11,R32,R34,R35,R36,R37,R38,R4",R_0201_0603Metric,C49653934,8
4K7,"R23,R42,R43,R45",R_0201_0603Metric,C49654757,4
5K1,"R1,R21",R_0402_1005Metric,C49652827,2
73K2,R40,R_0402_1005Metric,C50669973,1
BOOT,SW2,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4,C22375382,1
Conn_01x03_Socket,"J2,J4,J5,J6",PinHeader_1x03_P2.54mm_Vertical,C429954,4
DEBUG,J9,PinHeader_1x03_P2.54mm_Vertical,C2937625,1
FerriteBead,"FB1,FB2,FB3,FB4",L_0603_1608Metric,C3032643,4
I2C,J10,CONN-SMD_4P-P1.00_ZX-SH1.0-4PLN,C5447903,1
LAN9303i,U2,QFN-56-1EP_8x8mm_P0.5mm_EP5.9x5.9mm_ThermalVias,C633501,1
PC817,U5,DIP-4_W7.62mm,C52092020,1
PWR_SEL,J8,PinHeader_1x03_P2.54mm_Vertical,C429954,1
Polyfuse,F1,Fuse_Bourns_MF-RG300,C2680600,1
RST,SW1,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4,C22375382,1
RX,D3,LED_0402_1005Metric,C74338,1
TX,D2,LED_0402_1005Metric,C74338,1
UART,J7,CONN-TH_ZH-4A,C722937,1
~,J1,RJ45-TH_ARJP11A-MASA-B-A-EMU2,C19724782,1
~,J3,RJ45-TH_DGUK111Q334AB2A2DP057,C19725175,1
~,U7,DSBGA-6_L1.4-W1.0-R2-C3-P0.40-BL,C2071139,1
~,USB1,USB-C-TH_MC-110LD-L137,C22374560,1
~,U3,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,C41378174,1
~,U8,DHVQFN-14_L3.0-W2.5-P0.50-BL-EP,C554499,1
~,U11,VQFN-HR-10_L3.0-W3.0_RPA,C841386,1
