Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric,182.5,-102.9,-60.0,top
C10,0.1uF,C_0201_0603Metric,169.0,-99.5,180.0,top
C11,0.1uF,C_0201_0603Metric,169.08,-91.5,180.0,top
C12,0.1uF,C_0201_0603Metric,169.0,-94.5,180.0,top
C13,0.1uF,C_0201_0603Metric,171.72,-90.7,0.0,top
C14,100nF,C_0201_0603Metric,178.25,-106.5,-90.0,top
C15,4.7uF,C_0603_1608Metric,166.75,-95.0,0.0,top
C16,100nF,C_0201_0603Metric,169.0,-95.3,180.0,top
C17,100nF,C_0201_0603Metric,169.0,-96.4,180.0,top
C18,4.7uF,C_0603_1608Metric,176.25,-88.8,0.0,top
C19,100nF,C_0201_0603Metric,176.7,-90.3,90.0,top
C2,100nF,C_0201_0603Metric,179.1,-100.15,-135.0,top
C20,100nF,C_0201_0603Metric,176.1,-100.8,0.0,top
C21,4.7uF,C_0603_1608Metric,166.0,-93.45,0.0,top
C22,100nF,C_0201_0603Metric,175.9,-90.4,90.0,top
C23,4.7uF,C_0603_1608Metric,167.65,-106.5,0.0,top
C24,4.7nF,C_1206_3216Metric,158.45,-150.7,180.0,top
C25,4.7uF,C_0805_2012Metric,189.95,-115.8,120.0,top
C26,4.7uF,C_0805_2012Metric,185.5,-108.5,120.0,top
C27,4.7uF,C_0805_2012Metric,195.95,-126.25,-60.0,top
C28,2.2uF 16V,C_0805_2012Metric,190.423259,-131.85,90.0,top
C29,33uF 16V,CP_Elec_5x5.4,193.634869,-139.049651,-90.0,top
C3,100nF,C_0201_0603Metric,174.6,-100.8,180.0,top
C30,2.2uF 50V,C_0805_2012Metric,187.176132,-151.908367,180.0,top
C31,10uF 10V,CP_Elec_4x5.8,186.923259,-132.1,-90.0,top
C32,470uF 50V,CP_Elec_10x12.5,146.25,-153.5,90.0,top
C33,2.2uF 50V,C_0805_2012Metric,187.176132,-149.878367,180.0,top
C34,2.2uF 16V,C_0805_2012Metric,189.676132,-138.9,90.0,top
C35,4.7uF 16V,C_0805_2012Metric,193.273259,-132.45,180.0,top
C36,2.2uF 16V,C_0805_2012Metric,176.5,-119.0,90.0,top
C37,4.7uF,C_0805_2012Metric,156.5,-130.0,-90.0,top
C38,4.7uF,C_0805_2012Metric,154.75,-137.0,90.0,top
C39,4.7uF,C_0603_1608Metric,180.1,-111.8,-90.0,top
